1651037400000,38429.99000000,38570.01000000,38407.25000000,38410.13000000,499.13232000,1651039199999,19205279.92559940,14053,277.95368000,10694030.30210790,0
1651039200000,38410.13000000,38494.06000000,38401.17000000,38490.22000000,396.10697000,1651040999999,15227839.75193040,13166,186.78641000,7181142.73772430,0
1651041000000,38490.23000000,38703.98000000,38472.74000000,38646.71000000,1026.74615000,1651042799999,39619609.29605690,23167,533.86653000,20599767.21227450,0
1651042800000,38646.71000000,38787.00000000,38599.15000000,38670.46000000,1440.41414000,1651044599999,55737999.89949700,23148,814.46129000,31513061.75630370,0
1651044600000,38670.45000000,39113.72000000,38650.65000000,39112.74000000,1621.75526000,1651046399999,63000298.38355930,28847,1025.24813000,39828240.71102340,0
1651046400000,39113.06000000,39221.65000000,38985.18000000,39029.39000000,2914.87759000,1651048199999,113980912.98941500,42646,1571.72854000,61464492.75164000,0
1651048200000,39029.39000000,39039.00000000,38694.60000000,38980.00000000,1627.12298000,1651049999999,63270701.10630120,30789,758.55942000,29491888.74162720,0
1651050000000,38980.01000000,39080.00000000,38823.66000000,39006.94000000,1163.04315000,1651051799999,45313810.47400510,24022,563.54487000,21958608.82765290,0
1651051800000,39006.94000000,39107.64000000,38919.14000000,39053.68000000,806.40906000,1651053599999,31460274.99628030,17396,403.15095000,15728384.48395780,0
1651053600000,39053.69000000,39074.58000000,38955.47000000,39074.58000000,518.41632000,1651055399999,20225722.59096950,16797,236.42948000,9224381.38399930,0
1651055400000,39074.57000000,39146.08000000,38974.32000000,39108.57000000,813.03430000,1651057199999,31763629.48179990,23606,394.39650000,15408739.07135310,0
1651057200000,39108.58000000,39119.10000000,38645.42000000,38776.35000000,1382.83556000,1651058999999,53711954.24096600,29693,597.60784000,23206822.72043570,0
1651059000000,38776.35000000,39075.86000000,38776.35000000,39017.19000000,1123.03213000,1651060799999,43713809.29356410,28854,576.13541000,22425551.60618300,0
1651060800000,39017.19000000,39139.17000000,38886.41000000,39063.38000000,1246.97673000,1651062599999,48670245.71411120,23456,596.61045000,23285297.20446250,0
1651062600000,39063.38000000,39088.98000000,38862.48000000,38893.18000000,1407.33775000,1651064399999,54794596.35480220,24436,686.04805000,26707860.10042580,0
1651064400000,38893.19000000,38997.83000000,38774.93000000,38978.74000000,1164.15031000,1651066199999,45261017.73642330,24376,590.78804000,22966905.33989130,0
1651066200000,38978.74000000,39474.72000000,38965.37000000,39344.70000000,4130.42592000,1651067999999,162248391.85921860,55917,2156.45456000,84699138.52488710,0
1651068000000,39344.69000000,39409.99000000,38516.00000000,38574.36000000,3811.37370000,1651069799999,147888695.84577170,53060,1856.74927000,72030132.38353280,0
1651069800000,38574.35000000,38905.76000000,38435.95000000,38672.62000000,2710.16595000,1651071599999,104799320.59663760,37467,1350.70507000,52230309.25733840,0
1651071600000,38672.62000000,38850.00000000,38635.91000000,38790.70000000,2086.41216000,1651073399999,80839965.95392370,30480,1019.93315000,39515224.63838730,0
1651073400000,38790.69000000,39141.86000000,38790.69000000,39005.76000000,2543.03337000,1651075199999,99145355.64668480,38519,1294.36025000,50463696.59331600,0
1651075200000,39005.77000000,39308.28000000,38918.43000000,39278.52000000,1931.54500000,1651076999999,75620268.60758190,43845,1038.50227000,40655756.26726160,0
1651077000000,39278.51000000,39309.00000000,39115.23000000,39191.58000000,1371.32168000,1651078799999,53777956.85549120,33735,683.14318000,26789399.82210670,0
1651078800000,39191.59000000,39260.48000000,38959.96000000,39080.00000000,1799.84789000,1651080599999,70332523.24354980,42396,887.57697000,34681333.51004670,0
1651080600000,39080.00000000,39150.02000000,39010.09000000,39109.99000000,964.80110000,1651082399999,37724016.02183380,29769,476.24275000,18620178.45840220,0
1651082400000,39109.99000000,39189.47000000,38964.17000000,38990.19000000,856.79163000,1651084199999,33488265.40464830,26293,428.65637000,16755525.99356190,0
1651084200000,38990.18000000,39060.51000000,38750.48000000,38785.71000000,1215.49157000,1651085999999,47304932.81070540,23953,576.17646000,22426446.57060600,0
